"","County","State","Lat","Long_","Confirmed","Deaths","Active","Combined_Key","State_popDensity"
"1716","McPherson","Nebraska",41.56797682,-101.0599362,10,0,10,"McPherson, Nebraska, US",25.4161
"1717","McPherson","South Dakota",45.76626028,-99.22118798,1,0,1,"McPherson, South Dakota, US",11.9116
"1718","Meade","Kansas",37.23859987,-100.364831,13,0,13,"Meade, Kansas, US",35.5968
"1719","Meade","Kentucky",37.96163597,-86.21028219,17,1,16,"Meade, Kentucky, US",113.9566
"1720","Meade","South Dakota",44.56676791,-102.7162741,2,0,2,"Meade, South Dakota, US",11.9116
"1721","Meagher","Montana",46.59907074,-110.8898557,1,0,1,"Meagher, Montana, US",7.4668
"1722","Mecklenburg","North Carolina",35.24469268,-80.8317671,1870,58,1812,"Mecklenburg, North Carolina, US",218.2702
"1723","Mecklenburg","Virginia",36.67882005,-78.36131056,106,10,96,"Mecklenburg, Virginia, US",218.4403
"1724","Mecosta","Michigan",43.64064262,-85.32463223,15,2,13,"Mecosta, Michigan, US",177.6655
"1725","Medina","Ohio",41.11770589,-81.8998621,184,16,168,"Medina, Ohio, US",287.5038
"1726","Medina","Texas",29.3557301,-99.11030298,20,2,18,"Medina, Texas, US",112.8204
"1727","Meeker","Minnesota",45.12328869,-94.52839455,18,0,18,"Meeker, Minnesota, US",71.5922
"1728","Meigs","Ohio",39.09224872,-82.0305041,3,0,3,"Meigs, Ohio, US",287.5038
"1729","Meigs","Tennessee",35.51558739,-84.81482914,11,0,11,"Meigs, Tennessee, US",167.2748
"1730","Menard","Illinois",40.02742725,-89.80246001,16,0,16,"Menard, Illinois, US",228.0243
"1731","Mendocino","California",39.4381191,-123.3911313,12,0,12,"Mendocino, California, US",256.3727
"1732","Menifee","Kentucky",37.94090733,-83.59985712,3,0,3,"Menifee, Kentucky, US",113.9566
"1733","Menominee","Michigan",45.58038692,-87.55370409,6,0,6,"Menominee, Michigan, US",177.6655
"1734","Menominee","Wisconsin",45.00422544,-88.70950714,1,0,1,"Menominee, Wisconsin, US",108.0497
"1735","Merced","California",37.18922369,-120.7209035,152,3,149,"Merced, California, US",256.3727
"1736","Mercer","Illinois",41.20596782,-90.74290052,10,0,10,"Mercer, Illinois, US",228.0243
"1737","Mercer","Kentucky",37.81474237,-84.87488475,10,0,10,"Mercer, Kentucky, US",113.9566
"1738","Mercer","New Jersey",40.28047017,-74.70479631,4860,298,4562,"Mercer, New Jersey, US",1215.1991
"1739","Mercer","North Dakota",47.31213126,-101.8318399,3,0,3,"Mercer, North Dakota, US",11.0393
"1740","Mercer","Ohio",40.54043046,-84.62912742,42,1,41,"Mercer, Ohio, US",287.5038
"1741","Mercer","Pennsylvania",41.30248872,-80.25816981,69,1,68,"Mercer, Pennsylvania, US",286.5449
"1742","Mercer","West Virginia",37.40481169,-81.11023142,11,0,11,"Mercer, West Virginia, US",73.9691
"1743","Meriwether","Georgia",33.04163534,-84.68859732,59,1,58,"Meriwether, Georgia, US",186.6719
"1744","Merrick","Nebraska",41.16624273,-98.0374887,20,0,20,"Merrick, Nebraska, US",25.4161
"1745","Merrimack","New Hampshire",43.29662971,-71.6811573,213,3,210,"Merrimack, New Hampshire, US",153.1605
"1746","Mesa","Colorado",39.01787888,-108.469799,50,0,50,"Mesa, Colorado, US",56.4011
"1747","Metcalfe","Kentucky",36.99459295,-85.63123699,1,0,1,"Metcalfe, Kentucky, US",113.9566
"1748","Miami","Indiana",40.76940965,-86.04525048,121,1,120,"Miami, Indiana, US",188.281
"1749","Miami","Kansas",38.56383358,-94.83832189,5,0,5,"Miami, Kansas, US",35.5968
"1750","Miami","Ohio",40.0543329,-84.22871271,144,27,117,"Miami, Ohio, US",287.5038
"1751","Miami-Dade","Florida",25.6112362,-80.55170587,13371,432,12939,"Miami-Dade, Florida, US",410.1256
"1753","Middlesex","Connecticut",41.45949668,-72.53714864,742,98,644,"Middlesex, Connecticut, US",735.8689
"1754","Middlesex","Massachusetts",42.48607732,-71.39049229,16327,1070,15257,"Middlesex, Massachusetts, US",894.4355
"1755","Middlesex","New Jersey",40.43629879,-74.41426991,13254,706,12548,"Middlesex, New Jersey, US",1215.1991
"1756","Middlesex","Virginia",37.63191998,-76.55064617,7,0,7,"Middlesex, Virginia, US",218.4403
"1757","Midland","Michigan",43.64330771,-84.38804374,63,7,56,"Midland, Michigan, US",177.6655
"1758","Midland","Texas",31.86904128,-102.0315682,91,8,83,"Midland, Texas, US",112.8204
"1759","Mifflin","Pennsylvania",40.61116939,-77.61070738,45,0,45,"Mifflin, Pennsylvania, US",286.5449
"1760","Milam","Texas",30.7858183,-96.97718698,18,1,17,"Milam, Texas, US",112.8204
"1761","Mille Lacs","Minnesota",45.93705297,-93.63236823,5,1,4,"Mille Lacs, Minnesota, US",71.5922
"1762","Miller","Arkansas",33.31403423,-93.89285258,35,1,34,"Miller, Arkansas, US",58.403
"1763","Miller","Georgia",31.16568912,-84.73151117,30,0,30,"Miller, Georgia, US",186.6719
"1764","Miller","Missouri",38.21450288,-92.42610898,2,0,2,"Miller, Missouri, US",89.7453
"1765","Mills","Iowa",41.03299766,-95.61920963,5,0,5,"Mills, Iowa, US",56.9284
"1766","Milwaukee","Wisconsin",43.00486062,-87.96733172,3469,204,3265,"Milwaukee, Wisconsin, US",108.0497
"1767","Miner","South Dakota",44.02197882,-97.60992207,1,0,1,"Miner, South Dakota, US",11.9116
"1768","Mineral","Colorado",37.66954283,-106.9281698,2,0,2,"Mineral, Colorado, US",56.4011
"1769","Mineral","Nevada",38.53841696,-118.4344506,4,0,4,"Mineral, Nevada, US",28.5993
"1770","Mineral","West Virginia",39.41561583,-78.94104895,18,0,18,"Mineral, West Virginia, US",73.9691
"1771","Mingo","West Virginia",37.73048351,-82.13338365,2,1,1,"Mingo, West Virginia, US",73.9691
"1772","Minidoka","Idaho",42.85518524,-113.6357257,11,0,11,"Minidoka, Idaho, US",22.0969
"1773","Minnehaha","South Dakota",43.67441641,-96.7910885,2231,19,2212,"Minnehaha, South Dakota, US",11.9116
"1774","Missaukee","Michigan",44.33772443,-85.09256478,16,1,15,"Missaukee, Michigan, US",177.6655
"1775","Mississippi","Arkansas",35.76271485,-90.0519437,42,0,42,"Mississippi, Arkansas, US",58.403
"1776","Mississippi","Missouri",36.82516239,-89.29505753,32,0,32,"Mississippi, Missouri, US",89.7453
"1777","Missoula","Montana",47.03728583,-113.9213508,39,1,38,"Missoula, Montana, US",7.4668
"1778","Mitchell","Georgia",31.22483255,-84.19381821,336,31,305,"Mitchell, Georgia, US",186.6719
"1779","Mitchell","Iowa",43.35638371,-92.78887719,3,0,3,"Mitchell, Iowa, US",56.9284
"1780","Mitchell","Kansas",39.39331582,-98.20906732,3,0,3,"Mitchell, Kansas, US",35.5968
"1781","Mitchell","North Carolina",36.01059309,-82.1582442,5,0,5,"Mitchell, North Carolina, US",218.2702
"1782","Mitchell","Texas",32.30623474,-100.9212058,1,0,1,"Mitchell, Texas, US",112.8204
"1783","Mobile","Alabama",30.78472347,-88.20842409,1311,76,1235,"Mobile, Alabama, US",96.9221
"1784","Moffat","Colorado",40.61810999,-108.2070876,6,0,6,"Moffat, Colorado, US",56.4011
"1785","Mohave","Arizona",35.70471703,-113.7577902,150,17,133,"Mohave, Arizona, US",64.955
"1786","Moniteau","Missouri",38.63571781,-92.57976951,51,0,51,"Moniteau, Missouri, US",89.7453
"1787","Monmouth","New Jersey",40.26549699,-74.22240686,6552,417,6135,"Monmouth, New Jersey, US",1215.1991
"1788","Mono","California",37.93899289,-118.8872409,27,1,26,"Mono, California, US",256.3727
"1789","Monona","Iowa",42.05220391,-95.95743843,11,0,11,"Monona, Iowa, US",56.9284
"1790","Monongalia","West Virginia",39.63218457,-80.04766838,108,5,103,"Monongalia, West Virginia, US",73.9691
"1791","Monroe","Alabama",31.56729412,-87.36995001,15,1,14,"Monroe, Alabama, US",96.9221
"1792","Monroe","Arkansas",34.6815935,-91.20540287,4,0,4,"Monroe, Arkansas, US",58.403
"1793","Monroe","Florida",25.20904673,-81.07812416,80,3,77,"Monroe, Florida, US",410.1256
"1794","Monroe","Georgia",33.014289,-83.92097166,33,4,29,"Monroe, Georgia, US",186.6719
"1795","Monroe","Illinois",38.27594376,-90.17761038,74,11,63,"Monroe, Illinois, US",228.0243
"1796","Monroe","Indiana",39.16130004,-86.52414358,135,9,126,"Monroe, Indiana, US",188.281
"1797","Monroe","Iowa",41.02988815,-92.8690667,1,0,1,"Monroe, Iowa, US",56.9284
"1798","Monroe","Kentucky",36.71225341,-85.71596443,6,0,6,"Monroe, Kentucky, US",113.9566
"1799","Monroe","Michigan",41.92734151,-83.53749864,354,15,339,"Monroe, Michigan, US",177.6655
"1800","Monroe","Mississippi",33.89236763,-88.4808438,178,20,158,"Monroe, Mississippi, US",63.7056
"1801","Monroe","New York",43.14638895,-77.69322942,1655,137,1518,"Monroe, New York, US",412.5211
"1802","Monroe","Ohio",39.72984936,-81.08464734,4,0,4,"Monroe, Ohio, US",287.5038
"1803","Monroe","Pennsylvania",41.05934058,-75.34031025,1190,60,1130,"Monroe, Pennsylvania, US",286.5449
"1804","Monroe","Tennessee",35.44550387,-84.24902965,26,1,25,"Monroe, Tennessee, US",167.2748
"1805","Monroe","West Virginia",37.56274716,-80.54577965,6,0,6,"Monroe, West Virginia, US",73.9691
"1806","Monroe","Wisconsin",43.94641218,-90.618819,14,1,13,"Monroe, Wisconsin, US",108.0497
"1807","Montague","Texas",33.67521893,-97.72500958,9,1,8,"Montague, Texas, US",112.8204
"1808","Montcalm","Michigan",43.31082541,-85.15252824,46,1,45,"Montcalm, Michigan, US",177.6655
"1809","Monterey","California",36.21862405,-121.2413397,241,6,235,"Monterey, California, US",256.3727
"1810","Montezuma","Colorado",37.33859579,-108.5958857,19,2,17,"Montezuma, Colorado, US",56.4011
"1811","Montgomery","Alabama",32.2206831,-86.20969272,477,12,465,"Montgomery, Alabama, US",96.9221
"1812","Montgomery","Arkansas",34.53704874,-93.65824478,1,0,1,"Montgomery, Arkansas, US",58.403
"1813","Montgomery","Georgia",32.17201038,-82.53527476,2,0,2,"Montgomery, Georgia, US",186.6719
"1814","Montgomery","Illinois",39.23198845,-89.47809254,33,1,32,"Montgomery, Illinois, US",228.0243
"1815","Montgomery","Indiana",40.04034823,-86.89335024,110,2,108,"Montgomery, Indiana, US",188.281
"1816","Montgomery","Iowa",41.03018714,-95.15642896,1,0,1,"Montgomery, Iowa, US",56.9284
"1817","Montgomery","Kansas",37.19236568,-95.74329258,20,2,18,"Montgomery, Kansas, US",35.5968
"1818","Montgomery","Kentucky",38.03253032,-83.9145241,11,0,11,"Montgomery, Kentucky, US",113.9566
"1819","Montgomery","Maryland",39.13676329,-77.20358245,5790,333,5457,"Montgomery, Maryland, US",626.6731
"1820","Montgomery","Mississippi",33.49419589,-89.61729103,51,1,50,"Montgomery, Mississippi, US",63.7056
"1821","Montgomery","Missouri",38.94022054,-91.47000721,7,0,7,"Montgomery, Missouri, US",89.7453
"1822","Montgomery","New York",42.90123494,-74.44011632,63,1,62,"Montgomery, New York, US",412.5211
"1823","Montgomery","North Carolina",35.33155144,-79.90416657,41,2,39,"Montgomery, North Carolina, US",218.2702
"1824","Montgomery","Ohio",39.75394919,-84.29050975,332,10,322,"Montgomery, Ohio, US",287.5038
"1825","Montgomery","Pennsylvania",40.21053671,-75.36652296,4827,471,4356,"Montgomery, Pennsylvania, US",286.5449
"1826","Montgomery","Tennessee",36.49609412,-87.38550661,153,2,151,"Montgomery, Tennessee, US",167.2748
"1827","Montgomery","Texas",30.30079133,-95.50572772,672,15,657,"Montgomery, Texas, US",112.8204
"1828","Montgomery","Virginia",37.17746986,-80.37868691,61,1,60,"Montgomery, Virginia, US",218.4403
"1829","Montmorency","Michigan",45.0275929,-84.12696227,5,0,5,"Montmorency, Michigan, US",177.6655
"1830","Montour","Pennsylvania",41.03023987,-76.66345939,50,0,50,"Montour, Pennsylvania, US",286.5449
"1831","Montrose","Colorado",38.40214114,-108.2639022,110,11,99,"Montrose, Colorado, US",56.4011
"1832","Moody","South Dakota",44.02266214,-96.67081159,7,0,7,"Moody, South Dakota, US",11.9116
"1833","Moore","North Carolina",35.30885257,-79.48474178,148,6,142,"Moore, North Carolina, US",218.2702
"1834","Moore","Tennessee",35.27724699,-86.36230578,3,0,3,"Moore, Tennessee, US",167.2748
"1835","Moore","Texas",35.83769242,-101.8930281,448,6,442,"Moore, Texas, US",112.8204
"1836","Morehouse","Louisiana",32.81686191,-91.80421614,55,4,51,"Morehouse, Louisiana, US",107.5175
"1837","Morgan","Alabama",34.45500589,-86.85475946,81,0,81,"Morgan, Alabama, US",96.9221
"1838","Morgan","Colorado",40.2627981,-103.8093302,439,21,418,"Morgan, Colorado, US",56.4011
"1839","Morgan","Georgia",33.59232073,-83.49129491,30,0,30,"Morgan, Georgia, US",186.6719
"1840","Morgan","Illinois",39.71654544,-90.20255104,26,1,25,"Morgan, Illinois, US",228.0243
"1841","Morgan","Indiana",39.47899078,-86.44573375,176,8,168,"Morgan, Indiana, US",188.281
"1842","Morgan","Kentucky",37.92465657,-83.25558245,1,0,1,"Morgan, Kentucky, US",113.9566
"1843","Morgan","Missouri",38.4181765,-92.88791859,6,0,6,"Morgan, Missouri, US",89.7453
"1844","Morgan","Ohio",39.62081738,-81.85308173,5,0,5,"Morgan, Ohio, US",287.5038
"1845","Morgan","Tennessee",36.13248031,-84.64880098,6,0,6,"Morgan, Tennessee, US",167.2748
"1846","Morgan","West Virginia",39.55439028,-78.26311676,14,0,14,"Morgan, West Virginia, US",73.9691
"1847","Morrill","Nebraska",41.71711774,-103.0061405,7,0,7,"Morrill, Nebraska, US",25.4161
"1848","Morris","Kansas",38.68827511,-96.65128437,3,0,3,"Morris, Kansas, US",35.5968
"1849","Morris","New Jersey",40.86095313,-74.5455371,5655,491,5164,"Morris, New Jersey, US",1215.1991
"1850","Morris","Texas",33.11304005,-94.73255695,9,0,9,"Morris, Texas, US",112.8204
"1851","Morrison","Minnesota",46.01265363,-94.27341528,9,0,9,"Morrison, Minnesota, US",71.5922
"1852","Morrow","Ohio",40.5236356,-82.7892599,83,1,82,"Morrow, Ohio, US",287.5038
"1853","Morrow","Oregon",45.41846568,-119.584546,10,0,10,"Morrow, Oregon, US",44.8086
"1854","Morton","Kansas",37.19141121,-101.7992519,3,0,3,"Morton, Kansas, US",35.5968
"1855","Morton","North Dakota",46.71681782,-101.2822377,35,2,33,"Morton, North Dakota, US",11.0393
"1856","Motley","Texas",34.07408766,-100.779722,1,0,1,"Motley, Texas, US",112.8204
"1857","Moultrie","Illinois",39.64187451,-88.62099969,6,0,6,"Moultrie, Illinois, US",228.0243
"1858","Mountrail","North Dakota",48.20197971,-102.3555315,36,0,36,"Mountrail, North Dakota, US",11.0393
"1859","Mower","Minnesota",43.67142874,-92.75234549,35,0,35,"Mower, Minnesota, US",71.5922
"1860","Muhlenberg","Kentucky",37.21425819,-87.14632053,446,6,440,"Muhlenberg, Kentucky, US",113.9566
"1861","Multnomah","Oregon",45.54747959,-122.4169351,793,50,743,"Multnomah, Oregon, US",44.8086
"1862","Murray","Georgia",34.78897608,-84.74993177,35,1,34,"Murray, Georgia, US",186.6719
"1863","Murray","Minnesota",44.02216709,-95.76328482,20,0,20,"Murray, Minnesota, US",71.5922
"1864","Murray","Oklahoma",34.48116015,-97.06826283,2,0,2,"Murray, Oklahoma, US",57.6547
"1865","Muscatine","Iowa",41.48370744,-91.1121697,435,17,418,"Muscatine, Iowa, US",56.9284
"1866","Muscogee","Georgia",32.50931999,-84.87142262,348,12,336,"Muscogee, Georgia, US",186.6719
"1867","Muskegon","Michigan",43.29123859,-86.15176712,335,19,316,"Muskegon, Michigan, US",177.6655
"1868","Muskingum","Ohio",39.96575964,-81.94363275,22,0,22,"Muskingum, Ohio, US",287.5038
"1869","Muskogee","Oklahoma",35.61318461,-95.37802952,27,6,21,"Muskogee, Oklahoma, US",57.6547
"1870","Musselshell","Montana",46.49684637,-108.39498,1,0,1,"Musselshell, Montana, US",7.4668
"1871","Nacogdoches","Texas",31.62017125,-94.61803994,189,7,182,"Nacogdoches, Texas, US",112.8204
"1872","Nance","Nebraska",41.39750195,-97.99327291,4,0,4,"Nance, Nebraska, US",25.4161
"1873","Napa","California",38.50735751,-122.332839,78,2,76,"Napa, California, US",256.3727
"1874","Nash","North Carolina",35.96575634,-77.98422508,106,3,103,"Nash, North Carolina, US",218.2702
"1875","Nassau","Florida",30.61037141,-81.80297522,60,1,59,"Nassau, Florida, US",410.1256
"1876","Nassau","New York",40.74066522,-73.58941873,37350,1891,35459,"Nassau, New York, US",412.5211
"1877","Natchitoches","Louisiana",31.72321584,-93.09816516,91,8,83,"Natchitoches, Louisiana, US",107.5175
"1878","Natrona","Wyoming",42.96180148,-106.797885,48,0,48,"Natrona, Wyoming, US",5.84
"1879","Navajo","Arizona",35.3997715,-110.3218983,892,31,861,"Navajo, Arizona, US",64.955
"1880","Navarro","Texas",32.04620681,-96.47428766,33,2,31,"Navarro, Texas, US",112.8204
"1881","Nelson","Kentucky",37.80335779,-85.4657193,24,0,24,"Nelson, Kentucky, US",113.9566
"1882","Nelson","North Dakota",47.9226426,-98.19038437,1,0,1,"Nelson, North Dakota, US",11.0393
"1883","Nelson","Virginia",37.78790447,-78.88498513,9,0,9,"Nelson, Virginia, US",218.4403
"1884","Nemaha","Kansas",39.78345387,-96.01392079,1,0,1,"Nemaha, Kansas, US",35.5968
"1885","Nemaha","Nebraska",40.38514847,-95.85433992,1,0,1,"Nemaha, Nebraska, US",25.4161
"1886","Neosho","Kansas",37.55862897,-95.30670046,2,0,2,"Neosho, Kansas, US",35.5968
"1887","Neshoba","Mississippi",32.75339664,-89.11726492,254,11,243,"Neshoba, Mississippi, US",63.7056
"1888","Nevada","Arkansas",33.66340119,-93.30632432,2,0,2,"Nevada, Arkansas, US",58.403
"1889","Nevada","California",39.30394768,-120.7627281,41,1,40,"Nevada, California, US",256.3727
"1890","New Castle","Delaware",39.57992638,-75.64054974,2087,85,2002,"New Castle, Delaware, US",504.3073
"1891","New Hanover","North Carolina",34.25758282,-77.87075626,97,3,94,"New Hanover, North Carolina, US",218.2702
"1892","New Haven","Connecticut",41.4080325,-72.93620426,8419,629,7790,"New Haven, Connecticut, US",735.8689
"1893","New Kent","Virginia",37.50694406,-76.99828634,26,1,25,"New Kent, Virginia, US",218.4403
"1894","New London","Connecticut",41.48896435,-72.10430976,704,47,657,"New London, Connecticut, US",735.8689
"1895","New Madrid","Missouri",36.59666326,-89.66070007,11,0,11,"New Madrid, Missouri, US",89.7453
"1896","New York City","New York",40.7672726,-73.97152637,178351,19174,159177,"New York City, New York, US",412.5211
"1897","Newaygo","Michigan",43.554374,-85.80070107,32,0,32,"Newaygo, Michigan, US",177.6655
"1898","Newberry","South Carolina",34.28629098,-81.59935761,31,1,30,"Newberry, South Carolina, US",173.3174
"1899","Newport","Rhode Island",41.5642026,-71.26569799,161,0,161,"Newport, Rhode Island, US",1021.4323
"1900","Newport News","Virginia",37.08166899,-76.51754109,133,9,124,"Newport News, Virginia, US",218.4403
"1901","Newton","Arkansas",35.91947491,-93.21612969,3,0,3,"Newton, Arkansas, US",58.403
"1902","Newton","Georgia",33.55514538,-83.8454714,232,8,224,"Newton, Georgia, US",186.6719
"1903","Newton","Indiana",40.95610449,-87.39635768,61,8,53,"Newton, Indiana, US",188.281
"1904","Newton","Mississippi",32.40021118,-89.11843336,113,0,113,"Newton, Mississippi, US",63.7056
"1905","Newton","Missouri",36.90519407,-94.3394104,11,1,10,"Newton, Missouri, US",89.7453
"1906","Newton","Texas",30.78548982,-93.74408813,4,0,4,"Newton, Texas, US",112.8204
"1907","Nez Perce","Idaho",46.32638236,-116.7500975,78,18,60,"Nez Perce, Idaho, US",22.0969
"1908","Niagara","New York",43.19898042,-78.74777412,549,28,521,"Niagara, New York, US",412.5211
"1909","Nicholas","Kentucky",38.33342292,-84.01889177,1,0,1,"Nicholas, Kentucky, US",113.9566
"1910","Nicholas","West Virginia",38.29617706,-80.79759588,8,0,8,"Nicholas, West Virginia, US",73.9691
"1911","Nicollet","Minnesota",44.35291112,-94.24710352,17,2,15,"Nicollet, Minnesota, US",71.5922
"1912","Niobrara","Wyoming",43.05607708,-104.4758896,2,0,2,"Niobrara, Wyoming, US",5.84
"1913","Noble","Indiana",41.39672484,-85.41966713,123,14,109,"Noble, Indiana, US",188.281
"1914","Noble","Ohio",39.76818851,-81.45937183,6,0,6,"Noble, Ohio, US",287.5038
"1915","Noble","Oklahoma",36.38953329,-97.22928674,7,0,7,"Noble, Oklahoma, US",57.6547
"1916","Nobles","Minnesota",43.67434621,-95.75329576,1082,2,1080,"Nobles, Minnesota, US",71.5922
"1917","Nodaway","Missouri",40.36079813,-94.88133008,5,0,5,"Nodaway, Missouri, US",89.7453
"1918","Nolan","Texas",32.30365282,-100.4060208,2,0,2,"Nolan, Texas, US",112.8204
"1919","Nome","Alaska",64.90320724,-164.0353804,1,0,1,"Nome, Alaska, US",1.2863
